DataHub Name,idv_for_model_corrected
directions_net_mentions_total_awareness,directions_awareness_total_awareness_net_mentions
directions_net_mentions_unaided_awareness,directions_awareness_unaided_awareness_net_mentions
directions_mean_brand_affinity,directions_brand_affinity_brand_affinity_mean
directions_mean_always_seems_to_be_doing_something_new,directions_brand_attributes_always_seems_to_be_doing_something_new_mean
directions_rank_1st_always_seems_to_be_doing_something_new,directions_brand_attributes_always_seems_to_be_doing_something_new_rank_1st
directions_mean_controls_litter_box_odor_better_than_other_brands,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean
directions_rank_1st_controls_litter_box_odor_better_than_other_brands,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_rank_1st
directions_mean_costs_more_than_i_am_prepared_to_pay,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean
directions_rank_1st_costs_more_than_i_am_prepared_to_pay,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st
directions_mean_creates_a_minimal_amount_of_dust_when_used,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean
directions_rank_1st_creates_a_minimal_amount_of_dust_when_used,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_rank_1st
directions_mean_creates_excitement_and_eagerness_at_mealtime,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean
directions_rank_1st_creates_excitement_and_eagerness_at_mealtime,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_rank_1st
directions_mean_creates_playful_moments_with_my_cat,directions_brand_attributes_creates_playful_moments_with_my_cat_mean
directions_rank_1st_creates_playful_moments_with_my_cat,directions_brand_attributes_creates_playful_moments_with_my_cat_rank_1st
directions_mean_does_not_stick_to_cat's_paws_and_get_tracked_around_my_home,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean
directions_rank_1st_does_not_stick_to_cat's_paws_and_get_tracked_around_my_home,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_rank_1st
directions_mean_gets_my_dog_most_excited,directions_brand_attributes_gets_my_dog_most_excited_mean
directions_rank_1st_gets_my_dog_most_excited,directions_brand_attributes_gets_my_dog_most_excited_rank_1st
directions_mean_has_a_taste_my_cat_enjoys,directions_brand_attributes_has_a_taste_my_cat_enjoys_mean
directions_rank_1st_has_a_taste_my_cat_enjoys,directions_brand_attributes_has_a_taste_my_cat_enjoys_rank_1st
directions_mean_has_a_taste_my_dog_enjoys,directions_brand_attributes_has_a_taste_my_dog_enjoys_mean
directions_rank_1st_has_a_taste_my_dog_enjoys,directions_brand_attributes_has_a_taste_my_dog_enjoys_rank_1st
directions_mean_has_an_appealing_appearance,directions_brand_attributes_has_an_appealing_appearance_mean
directions_rank_1st_has_an_appealing_appearance,directions_brand_attributes_has_an_appealing_appearance_rank_1st
directions_mean_has_an_appealing_package,directions_brand_attributes_has_an_appealing_package_mean
directions_rank_1st_has_an_appealing_package,directions_brand_attributes_has_an_appealing_package_rank_1st
directions_mean_has_craveable_treats_that_my_cat_comes_running_for,directions_brand_attributes_has_craveable_treats_that_my_cat_comes_running_for_mean
directions_rank_1st_has_craveable_treats_that_my_cat_comes_running_for,directions_brand_attributes_has_craveable_treats_that_my_cat_comes_running_for_rank_1st
directions_mean_has_the_most_satisfying_and_hearty_dog_treats,directions_brand_attributes_has_the_most_satisfying_and_hearty_dog_treats_mean
directions_rank_1st_has_the_most_satisfying_and_hearty_dog_treats,directions_brand_attributes_has_the_most_satisfying_and_hearty_dog_treats_rank_1st
directions_mean_has_treats_i_could_feed_my_dog_everyday,directions_brand_attributes_has_treats_i_could_feed_my_dog_everyday_mean
directions_rank_1st_has_treats_i_could_feed_my_dog_everyday,directions_brand_attributes_has_treats_i_could_feed_my_dog_everyday_rank_1st
directions_mean_has_treats_that_contain_wholesome_ingredients,directions_brand_attributes_has_treats_that_contain_wholesome_ingredients_mean
directions_rank_1st_has_treats_that_contain_wholesome_ingredients,directions_brand_attributes_has_treats_that_contain_wholesome_ingredients_rank_1st
directions_mean_has_treats_that_have_an_appealing_package,directions_brand_attributes_has_treats_that_have_an_appealing_package_mean
directions_rank_1st_has_treats_that_have_an_appealing_package,directions_brand_attributes_has_treats_that_have_an_appealing_package_rank_1st
directions_mean_helps_me_connect_with_my_dog,directions_brand_attributes_helps_me_connect_with_my_dog_mean
directions_rank_1st_helps_me_connect_with_my_dog,directions_brand_attributes_helps_me_connect_with_my_dog_rank_1st
directions_mean_is_a_brand_i_do_not_trust_to_feed_to_my_pet,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean
directions_rank_1st_is_a_brand_i_do_not_trust_to_feed_to_my_pet,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_rank_1st
directions_mean_is_a_brand_i_do_not_trust_to_perform_well,directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_mean
directions_rank_1st_is_a_brand_i_do_not_trust_to_perform_well,directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_rank_1st
directions_mean_is_a_brand_i_trust_more_than_others,directions_brand_attributes_is_a_brand_i_trust_more_than_others_mean
directions_rank_1st_is_a_brand_i_trust_more_than_others,directions_brand_attributes_is_a_brand_i_trust_more_than_others_rank_1st
directions_mean_is_a_brand_i_would_pay_more_for,directions_brand_attributes_is_a_brand_i_would_pay_more_for_mean
directions_rank_1st_is_a_brand_i_would_pay_more_for,directions_brand_attributes_is_a_brand_i_would_pay_more_for_rank_1st
directions_mean_is_a_brand_that_delivers_on_their_promises,directions_brand_attributes_is_a_brand_that_delivers_on_their_promises_mean
directions_rank_1st_is_a_brand_that_delivers_on_their_promises,directions_brand_attributes_is_a_brand_that_delivers_on_their_promises_rank_1st
directions_mean_is_a_brand_that_is_gaining_in_popularity,directions_brand_attributes_is_a_brand_that_is_gaining_in_popularity_mean
directions_rank_1st_is_a_brand_that_is_gaining_in_popularity,directions_brand_attributes_is_a_brand_that_is_gaining_in_popularity_rank_1st
directions_mean_is_a_brand_that_is_nutritionally_complete,directions_brand_attributes_is_a_brand_that_is_nutritionally_complete_mean
directions_rank_1st_is_a_brand_that_is_nutritionally_complete,directions_brand_attributes_is_a_brand_that_is_nutritionally_complete_rank_1st
directions_mean_is_a_very_good_value_for_the_money,directions_brand_attributes_is_a_very_good_value_for_the_money_mean
directions_rank_1st_is_a_very_good_value_for_the_money,directions_brand_attributes_is_a_very_good_value_for_the_money_rank_1st
directions_mean_is_available_in_different_forms_for_different_occasions,directions_brand_attributes_is_available_in_different_forms_for_different_occasions_mean
directions_rank_1st_is_available_in_different_forms_for_different_occasions,directions_brand_attributes_is_available_in_different_forms_for_different_occasions_rank_1st
directions_mean_is_available_in_the_size_i'm_looking_for,directions_brand_attributes_is_available_in_the_size_im_looking_for_mean
directions_rank_1st_is_available_in_the_size_i'm_looking_for,directions_brand_attributes_is_available_in_the_size_im_looking_for_rank_1st
directions_mean_is_designed_to_meet_my_dogâ€™s_health_needs,directions_brand_attributes_is_designed_to_meet_my_dogs_health_needs_mean
