,idv_for_model_corrected,Keep/ Remove,Select Null,Select,product_category_idv,Equity Pillar,data_source,metric_name,Vendor Metric Group,Group,Common,Blank brand count,Blank brands,Comments,min,max,Neg Flag
0,directions_awareness_total_awareness_net_mentions,1,Y,Y,DOG FOOD,awareness,directions,total_awareness,Awareness,Awareness,All,0,,,0,100,P
1,directions_awareness_total_awareness_net_mentions,1,Y,Y,CAT FOOD,awareness,directions,total_awareness,Awareness,Awareness,All,0,,,0,100,P
2,directions_awareness_total_awareness_net_mentions,1,Y,Y,CAT LITTER,awareness,directions,total_awareness,Awareness,Awareness,All,,,,0,100,P
3,directions_awareness_total_awareness_net_mentions,1,Y,Y,DOG TREATS ONLY,awareness,directions,total_awareness,Awareness,Awareness,All,,,,0,100,P
4,directions_awareness_total_awareness_net_mentions,1,Y,Y,CAT TREATS ONLY,awareness,directions,total_awareness,Awareness,Awareness,All,,,,0,100,P
5,directions_awareness_unaided_awareness_net_mentions,1,Y,Y,DOG FOOD,awareness,directions,unaided_awareness,Awareness,Awareness,All,0,,,0,100,P
6,directions_awareness_unaided_awareness_net_mentions,1,Y,Y,CAT FOOD,awareness,directions,unaided_awareness,Awareness,Awareness,All,0,,,0,100,P
7,directions_awareness_unaided_awareness_net_mentions,1,Y,Y,CAT LITTER,awareness,directions,unaided_awareness,Awareness,Awareness,All,,,,0,100,P
8,directions_awareness_unaided_awareness_net_mentions,1,Y,Y,DOG TREATS ONLY,awareness,directions,unaided_awareness,Awareness,Awareness,All,,,,0,100,P
9,directions_awareness_unaided_awareness_net_mentions,1,Y,Y,CAT TREATS ONLY,awareness,directions,unaided_awareness,Awareness,Awareness,All,,,,0,100,P
10,directions_brand_affinity_brand_affinity_mean,1,Y,N,DOG FOOD,loyalty,directions,brand_affinity,Brand Affinity,Brand Affinity,All,0,,,0,100,P
11,directions_brand_affinity_brand_affinity_mean,1,Y,N,CAT FOOD,loyalty,directions,brand_affinity,Brand Affinity,Brand Affinity,All,0,,,0,100,P
12,directions_brand_affinity_brand_affinity_mean,1,Y,N,CAT LITTER,loyalty,directions,brand_affinity,Brand Affinity,Brand Affinity,All,,,,0,100,P
13,directions_brand_affinity_brand_affinity_mean,1,Y,N,DOG TREATS ONLY,loyalty,directions,brand_affinity,Brand Affinity,Brand Affinity,All,,,,0,100,P
14,directions_brand_affinity_brand_affinity_mean,1,Y,N,CAT TREATS ONLY,loyalty,directions,brand_affinity,Brand Affinity,Brand Affinity,All,,,,0,100,P
15,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,1,Y,Y,DOG FOOD,brand_perceptions,directions,always_seems_to_be_doing_something_new_mean,Brand Attributes,Innovation,Dog/Cat Food except Treats,0,,,0,100,P
16,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,1,Y,Y,CAT FOOD,brand_perceptions,directions,always_seems_to_be_doing_something_new_mean,Brand Attributes,Innovation,Dog/Cat Food except Treats,0,,,0,100,P
17,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,0,N,N,CAT LITTER,brand_perceptions,directions,always_seems_to_be_doing_something_new_mean,Brand Attributes,Innovation,Dog/Cat Food except Treats,,,,0,100,P
18,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,0,N,N,DOG TREATS ONLY,brand_perceptions,directions,always_seems_to_be_doing_something_new_mean,Brand Attributes,Innovation,Dog/Cat Food except Treats,,,,0,100,P
19,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,0,N,N,CAT TREATS ONLY,brand_perceptions,directions,always_seems_to_be_doing_something_new_mean,Brand Attributes,Innovation,Dog/Cat Food except Treats,,,,0,100,P
20,directions_brand_attributes_always_seems_to_be_doing_something_new_rank_1st,1,Y,N,DOG FOOD,,directions,always_seems_to_be_doing_something_new_rank_1st,Brand Attributes,Innovation,Dog/Cat Food except Treats,0,,Excluded rank1st,0,100,P
21,directions_brand_attributes_always_seems_to_be_doing_something_new_rank_1st,1,Y,N,CAT FOOD,,directions,always_seems_to_be_doing_something_new_rank_1st,Brand Attributes,Innovation,Dog/Cat Food except Treats,0,,Excluded rank1st,0,100,P
22,directions_brand_attributes_always_seems_to_be_doing_something_new_rank_1st,0,N,N,CAT LITTER,,directions,always_seems_to_be_doing_something_new_rank_1st,Brand Attributes,Innovation,Dog/Cat Food except Treats,,,,0,100,P
23,directions_brand_attributes_always_seems_to_be_doing_something_new_rank_1st,0,N,N,DOG TREATS ONLY,,directions,always_seems_to_be_doing_something_new_rank_1st,Brand Attributes,Innovation,Dog/Cat Food except Treats,,,,0,100,P
24,directions_brand_attributes_always_seems_to_be_doing_something_new_rank_1st,0,N,N,CAT TREATS ONLY,,directions,always_seems_to_be_doing_something_new_rank_1st,Brand Attributes,Innovation,Dog/Cat Food except Treats,,,,0,100,P
25,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,0,N,N,DOG FOOD,,directions,controls_litter_box_odor_better_than_other_brands_mean,Brand Attributes,Litter,Litter,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Litter,0,100,P
26,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,0,N,N,CAT FOOD,,directions,controls_litter_box_odor_better_than_other_brands_mean,Brand Attributes,Litter,Litter,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Litter,0,100,P
27,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,1,Y,Y,CAT LITTER,brand_perceptions,directions,controls_litter_box_odor_better_than_other_brands_mean,Brand Attributes,Litter,Litter,,,,0,100,P
28,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,0,N,N,DOG TREATS ONLY,,directions,controls_litter_box_odor_better_than_other_brands_mean,Brand Attributes,Litter,Litter,,,,0,100,P
29,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,0,N,N,CAT TREATS ONLY,,directions,controls_litter_box_odor_better_than_other_brands_mean,Brand Attributes,Litter,Litter,,,,0,100,P
30,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_rank_1st,0,N,N,DOG FOOD,,directions,controls_litter_box_odor_better_than_other_brands_rank_1st,Brand Attributes,Litter,Litter,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Litter,0,100,P
31,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_rank_1st,0,N,N,CAT FOOD,,directions,controls_litter_box_odor_better_than_other_brands_rank_1st,Brand Attributes,Litter,Litter,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Litter,0,100,P
32,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_rank_1st,1,Y,N,CAT LITTER,,directions,controls_litter_box_odor_better_than_other_brands_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
33,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_rank_1st,0,N,N,DOG TREATS ONLY,,directions,controls_litter_box_odor_better_than_other_brands_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
34,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_rank_1st,0,N,N,CAT TREATS ONLY,,directions,controls_litter_box_odor_better_than_other_brands_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
35,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean,1,Y,N,DOG FOOD,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_mean,Brand Attributes,Value for Money,All,0,,Excluded -ve questions,0,100,N
36,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean,1,Y,N,CAT FOOD,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_mean,Brand Attributes,Value for Money,All,0,,Excluded -ve questions,0,100,N
37,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean,1,Y,N,CAT LITTER,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_mean,Brand Attributes,Value for Money,All,,,Excluded -ve questions,0,100,N
38,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean,1,Y,N,DOG TREATS ONLY,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_mean,Brand Attributes,Value for Money,All,,,Excluded -ve questions,0,100,N
39,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean,1,Y,N,CAT TREATS ONLY,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_mean,Brand Attributes,Value for Money,All,,,Excluded -ve questions,0,100,N
40,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st,1,Y,N,DOG FOOD,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_rank_1st,Brand Attributes,Value for Money,All,0,,Excluded rank1st,0,100,N
41,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st,1,Y,N,CAT FOOD,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_rank_1st,Brand Attributes,Value for Money,All,0,,Excluded rank1st,0,100,N
42,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st,1,Y,N,CAT LITTER,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_rank_1st,Brand Attributes,Value for Money,All,,,,0,100,N
43,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st,1,Y,N,DOG TREATS ONLY,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_rank_1st,Brand Attributes,Value for Money,All,,,,0,100,N
44,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st,1,Y,N,CAT TREATS ONLY,brand_perceptions,directions,costs_more_than_i_am_prepared_to_pay_rank_1st,Brand Attributes,Value for Money,All,,,,0,100,N
45,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,0,N,N,DOG FOOD,,directions,creates_a_minimal_amount_of_dust_when_used_mean,Brand Attributes,Litter,Litter,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Litter,0,100,P
46,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,0,N,N,CAT FOOD,,directions,creates_a_minimal_amount_of_dust_when_used_mean,Brand Attributes,Litter,Litter,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Litter,0,100,P
47,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,1,Y,Y,CAT LITTER,brand_perceptions,directions,creates_a_minimal_amount_of_dust_when_used_mean,Brand Attributes,Litter,Litter,,,,0,100,P
48,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,0,N,N,DOG TREATS ONLY,,directions,creates_a_minimal_amount_of_dust_when_used_mean,Brand Attributes,Litter,Litter,,,,0,100,P
49,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,0,N,N,CAT TREATS ONLY,,directions,creates_a_minimal_amount_of_dust_when_used_mean,Brand Attributes,Litter,Litter,,,,0,100,P
50,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_rank_1st,0,N,N,DOG FOOD,,directions,creates_a_minimal_amount_of_dust_when_used_rank_1st,Brand Attributes,Litter,Litter,22,"ALPO,BEGGIN',BENEFUL,BEYOND,BUSY,CESAR,DENTALIFE,DOG CHOW LINE,EUKANUBA,FRESHPET,GREENIES,IAMS,MERRICK,MILK-BONE,NUTRO,PEDIGREE,PRO PLAN,PUP-PERONI,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,ZUKE'S",Question only for Litter,0,100,P
51,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_rank_1st,0,N,N,CAT FOOD,,directions,creates_a_minimal_amount_of_dust_when_used_rank_1st,Brand Attributes,Litter,Litter,15,"9LIVES,BEYOND,CAT CHOW LINE,DENTALIFE,FANCY FEAST,FRISKIES,GREENIES,IAMS,MEOW MIX,PRO PLAN,PURINA ONE,RACHAEL RAY NUTRISH,ROYAL CANIN,SHEBA,TEMPTATIONS",Question only for Litter,0,100,P
52,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_rank_1st,1,Y,N,CAT LITTER,,directions,creates_a_minimal_amount_of_dust_when_used_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
53,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_rank_1st,0,N,N,DOG TREATS ONLY,,directions,creates_a_minimal_amount_of_dust_when_used_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
54,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_rank_1st,0,N,N,CAT TREATS ONLY,,directions,creates_a_minimal_amount_of_dust_when_used_rank_1st,Brand Attributes,Litter,Litter,,,,0,100,P
55,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean,1,Y,Y,DOG FOOD,brand_perceptions,directions,creates_excitement_and_eagerness_at_mealtime_mean,Brand Attributes,Palatability,Dog Food except Treats,0,,,0,100,P
