raw_cols,operation,values,new_name
directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean,sub,100,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean_inverse
directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st,sub,100,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_rank_1st_inverse
directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean,sub,100,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean_inverse
directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_rank_1st,sub,100,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_rank_1st_inverse
directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_mean,sub,100,directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_mean_inverse
directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_rank_1st,sub,100,directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_rank_1st_inverse
directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean,sub,100,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean_inverse
directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_rank_1st,sub,100,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_rank_1st_inverse
,add,directions_brand_connection_love_net+directions_brand_connection_like_net+directions_brand_connection_neutral_net,directions_positive_brand_connection
,add,directions_brand_trust_trust_brand_completely_net+directions_brand_trust_trust_brand_somewhat_net+directions_brand_trust_trust_brand_very_much_net,directions_positive_brand_trust
,add,ratings_reviews_3_star_ratings_percentage+ratings_reviews_4_star_ratings_percentage+ratings_reviews_5_star_ratings_percentage,ratings_reviews_positive_ratings_percentage
,add,social_percent_neutral+social_percent_positive,social_percent_positive_neutral
ratings_reviews_review_sentiment_score_bad_experiences_count_percentage,sub,1,ratings_reviews_good_experience_percentage
