idv,equity_pillar,min,max,negation_flag
directions_awareness_total_awareness_net_mentions,awareness,0,100,P
directions_awareness_unaided_awareness_net_mentions,awareness,0,100,P
directions_brand_attributes_always_seems_to_be_doing_something_new_mean,brand_perceptions,0,100,P
directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean,brand_perceptions,0,100,P
directions_brand_attributes_creates_playful_moments_with_my_cat_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_a_taste_my_cat_enjoys_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_a_taste_my_dog_enjoys_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_craveable_treats_that_my_cat_comes_running_for_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_the_most_satisfying_and_hearty_dog_treats_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_treats_i_could_feed_my_dog_everyday_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_treats_that_contain_wholesome_ingredients_mean,brand_perceptions,0,100,P
directions_brand_attributes_has_treats_that_have_an_appealing_package_mean,brand_perceptions,0,100,P
directions_brand_attributes_helps_me_connect_with_my_dog_mean,brand_perceptions,0,100,P
directions_brand_attributes_is_a_brand_i_trust_more_than_others_mean,consideration,0,100,P
directions_brand_attributes_is_a_brand_i_would_pay_more_for_mean,brand_perceptions,0,100,P
directions_brand_attributes_is_a_brand_that_is_gaining_in_popularity_mean,brand_perceptions,0,100,P
directions_brand_attributes_is_a_very_good_value_for_the_money_mean,brand_perceptions,0,100,P
directions_brand_attributes_is_available_in_different_forms_for_different_occasions_mean,brand_perceptions,0,100,P
directions_brand_attributes_is_easy_to_find_and_buy_mean,brand_perceptions,0,100,P
directions_brand_attributes_is_often_available_on_promotion_or_deal_mean,brand_perceptions,0,100,P
directions_brand_attributes_offers_a_flavors_that_appeals_to_my_dogs_taste_mean,brand_perceptions,0,100,P
directions_brand_attributes_offers_products_that_contain_real_natural_ingredients_mean,brand_perceptions,0,100,P
directions_brand_attributes_provides_all_the_variety_my_cat_wants_mean,brand_perceptions,0,100,P
directions_brand_attributes_understands_the_relationship_between_me_and_my_cat_mean,brand_perceptions,0,100,P
directions_brand_attributes_understands_the_relationship_between_me_and_my_dog_mean,brand_perceptions,0,100,P
directions_brand_consideration_one_of_many_brands_i_would_consider_buying_net,consideration,0,100,P
directions_brand_consideration_the_only_brand_i_would_consider_buying_net,loyalty,0,100,P
directions_funnel_metrics_advocacy_t2b_buyers,advocacy,0,100,P
directions_future_purchase_intent_definitely_would_buy_net,loyalty,0,100,P
directions_future_purchase_intent_probably_would_buy_net,consideration,0,100,P
directions_strategic_measures_brand_interest_index,consideration,52.59350532,145.7032492,P
directions_strategic_measures_brand_love_index,advocacy,52.59350532,145.7032492,P
directions_strategic_measures_brand_loyalty_index,loyalty,52.59350532,145.7032492,P
neilsen_panel_value_per_occasion,loyalty,0,100,P
ratings_reviews_review_rating_average,product_feedback,0,5,P
ratings_reviews_review_sentiment_score_average,product_feedback,0,2,P
ratings_reviews_review_sentiment_score_health_benefits,product_feedback,0,2,P
ratings_reviews_review_sentiment_score_ingredients,product_feedback,0,2,P
ratings_reviews_review_sentiment_score_pet_enjoyment,product_feedback,0,2,P
ratings_reviews_review_sentiment_score_value_for_the_money,product_feedback,0,2,P
social_share_of_total_buzz_post,awareness,0,100,P
directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean_inverse,brand_perceptions,0,100,N
directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean_inverse,brand_perceptions,0,100,N
directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean_inverse,brand_perceptions,0,100,N
search_searchvolume_share,consideration,0,1,P
directions_positive_brand_trust,loyalty,0,100,
ratings_reviews_positive_ratings_percentage,product_feedback,0,100,
social_percent_positive_neutral,advocacy,0,1,
ratings_reviews_good_experience_percentage,product_feedback,0,1,
