date,vendor,brand,category,directions_awareness_total_awareness_net_mentions,directions_awareness_unaided_awareness_net_mentions,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean_inverse,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,directions_brand_attributes_has_a_taste_my_cat_enjoys_mean,directions_brand_attributes_has_a_taste_my_dog_enjoys_mean,directions_brand_attributes_has_craveable_treats_that_my_cat_comes_running_for_mean,directions_brand_attributes_has_the_most_satisfying_and_hearty_dog_treats_mean,directions_brand_attributes_has_treats_i_could_feed_my_dog_everyday_mean,directions_brand_attributes_has_treats_that_contain_wholesome_ingredients_mean,directions_brand_attributes_has_treats_that_have_an_appealing_package_mean,directions_brand_attributes_helps_me_connect_with_my_dog_mean,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean_inverse,directions_brand_attributes_is_a_brand_i_trust_more_than_others_mean,directions_brand_attributes_is_a_brand_i_would_pay_more_for_mean,directions_brand_attributes_is_a_brand_that_is_gaining_in_popularity_mean,directions_brand_attributes_is_a_very_good_value_for_the_money_mean,directions_brand_attributes_is_available_in_different_forms_for_different_occasions_mean,directions_brand_attributes_is_easy_to_find_and_buy_mean,directions_brand_attributes_is_often_available_on_promotion_or_deal_mean,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean_inverse,directions_brand_attributes_offers_a_flavors_that_appeals_to_my_dogs_taste_mean,directions_brand_attributes_offers_products_that_contain_real_natural_ingredients_mean,directions_brand_attributes_provides_all_the_variety_my_cat_wants_mean,directions_brand_attributes_understands_the_relationship_between_me_and_my_cat_mean,directions_brand_attributes_understands_the_relationship_between_me_and_my_dog_mean,directions_brand_consideration_one_of_many_brands_i_would_consider_buying_net,directions_brand_consideration_the_only_brand_i_would_consider_buying_net,directions_funnel_metrics_advocacy_t2b_buyers,directions_future_purchase_intent_definitely_would_buy_net,directions_future_purchase_intent_probably_would_buy_net,directions_positive_brand_trust,directions_strategic_measures_brand_interest_index,directions_strategic_measures_brand_love_index,directions_strategic_measures_brand_loyalty_index,neilsen_panel_value_per_occasion,ratings_reviews_good_experience_percentage,ratings_reviews_positive_ratings_percentage,ratings_reviews_review_rating_average,ratings_reviews_review_sentiment_score_average,ratings_reviews_review_sentiment_score_health_benefits,ratings_reviews_review_sentiment_score_ingredients,ratings_reviews_review_sentiment_score_pet_enjoyment,ratings_reviews_review_sentiment_score_value_for_the_money,search_searchvolume_share,social_percent_positive_neutral,social_share_of_total_buzz_post,market_share
2022-08-13,vendor_1,brand_1,category_1,84.2007434,11.5044247,,32.77433628,,,,,,61.46017699,56.47340426,,,62.06637168,37.68085106,52.75531915,,57.57079646,60.17699115,,77.42035398,,39.29646018,69.18085106,47.38297872,,,,69.5364238,6.401766,82.3293172,26.7108167,18.3222958,21.8543046,60.61557144,113.1567993,107.2647764,7.92,0.0,,4.619047619,1.690022676,,2.0,1.96969697,2.0,,0.922619048,0.552192843,0.008065984
2022-08-13,vendor_3,brand_5,category_1,80.70865655,35.40642862,55.34691432,37.27838657,64.38967178,,,67.45815516,,,,,,,37.05395555,64.48298209,51.90183229,61.59745244,67.36293736,,80.70720513,61.77794201,43.09012306,,59.92063713,,,62.84278566,52.00163644,14.58274748,86.27103115,26.3857455,19.57951098,24.83457932,82.86668062,117.5207514,109.0385539,12.48366667,3.0,8.0,4.344444444,1.459555423,1.653333333,0.958333333,1.811904762,1.409722222,0.05149931,0.80713128,3.783936852,0.070409041
2022-08-13,vendor_3,brand_6,category_2,83.3969465,42.6267281,,26.6183844,,80.67688022,,,85.70134228,,,69.0362117,77.89932886,,24.41275168,78.93288591,,73.51253482,78.28969359,76.83557047,88.99442897,67.49582173,29.44289694,,66.82885906,,,,68.1293302,23.7875288,90.4109589,58.660508,20.5542725,41.5704387,111.5418343,161.1889741,134.7599258,7.082666667,3.0,9.0,4.632768362,1.567946562,2.0,1.25,1.796946565,1.578125,,0.858044164,0.838908357,0.055227963
2022-08-20,vendor_1,brand_1,category_1,84.2007434,11.5044247,,32.77433628,,,,,,61.46017699,56.47340426,,,62.06637168,37.68085106,52.75531915,,57.57079646,60.17699115,,77.42035398,,39.29646018,69.18085106,47.38297872,,,,69.5364238,6.401766,82.3293172,26.7108167,18.3222958,21.8543046,60.61557144,113.1567993,107.2647764,7.92,0.0,,4.615384615,1.462820513,2.0,0.0,2.0,2.0,,0.994285714,0.570671183,0.007958352
2022-08-20,vendor_1,brand_2,category_1,65.78938563,35.41176312,61.57140692,53.07174587,65.63264007,,,66.62537388,,71.39622642,70.95604396,,,65.32075472,29.32237837,68.96563195,60.16530061,69.338807,61.89481779,,67.79705999,46.2802966,26.21878418,71.73626374,73.04010321,,,66.49648843,67.82568548,9.572644874,88.1111663,20.75858432,21.43405425,24.43023791,118.7874089,114.3776547,101.58746,18.578,5.0,8.0,4.097959184,1.400894887,1.647727273,1.46875,1.676498801,1.352941176,,0.7617713,4.245057251,0.074323115
2022-08-20,vendor_2,brand_3,category_2,33.9694656,1.3824884,,47.21348315,,55.95505618,,,59.08759124,,,64.97752809,63.42335766,,27.91970803,64.44525547,,60.49438202,59.71910112,50.13868613,60.46067416,45.44382022,29.20224719,,63.31386861,,,,78.6516853,6.741573,90.0,23.5955056,26.4044943,28.0898876,111.7866134,93.62273367,100.0,5.714333333,0.0,,5.0,1.642857143,1.0,,1.666666667,2.0,,0.696969697,0.099407238,0.000141
2022-08-27,vendor_1,brand_1,category_1,84.2007434,11.5044247,,32.77433628,,,,,,61.46017699,56.47340426,,,62.06637168,37.68085106,52.75531915,,57.57079646,60.17699115,,77.42035398,,39.29646018,69.18085106,47.38297872,,,,69.5364238,6.401766,82.3293172,26.7108167,18.3222958,21.8543046,60.61557144,113.1567993,107.2647764,7.92,0.0,,4.705882353,1.635294118,,1.0,1.9,2.0,,0.990990991,0.318002473,0.007795391
2022-09-10,vendor_3,brand_5,category_1,80.57330708,36.89281049,57.05038034,36.69445257,65.88711578,,,68.31643072,,,,,,,39.05544166,65.90525724,55.40086491,62.5996584,68.53261604,,81.41923211,63.11035164,45.20240702,,59.73973553,,,65.26218053,55.14384536,15.85548763,85.05796332,27.69938928,20.85842997,26.85658615,97.29922131,118.9747557,111.9443473,12.48366667,3.0,5.0,4.085889571,1.407499402,1.571428571,1.142857143,1.769202899,1.626666667,0.051416588,0.880149813,1.454825441,0.071491723
2022-09-17,vendor_3,brand_5,category_1,80.57330708,36.89281049,57.05038034,36.69445257,65.88711578,,,68.31643072,,,,,,,39.05544166,65.90525724,55.40086491,62.5996584,68.53261604,,81.41923211,63.11035164,45.20240702,,59.73973553,,,65.26218053,55.14384536,15.85548763,85.05796332,27.69938928,20.85842997,26.85658615,97.29922131,118.9747557,111.9443473,12.48366667,3.0,9.0,4.409574468,1.498680191,1.816666667,1.777777778,1.73735119,1.75862069,0.051416588,0.835582822,2.93285515,0.070957039
2022-10-29,vendor_2,brand_3,category_2,38.1957773,0.9153318,,45.12568306,,56.45355191,,,59.39864865,,,68.16393443,64.88513514,,31.24324324,65.81081081,,60.34972678,61.03825137,48.03378378,64.18579235,47.63934426,26.34972678,,65.27027027,,,,80.8080808,6.060606,86.4583333,23.7373737,26.2626262,26.2626262,96.00225525,97.64466231,100.0,6.08875,0.0,,5.0,1.888888889,,,2.0,,,0.761904762,0.089788589,0.000149
